ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
hp-probook-445-g9-5,HP ProBook 445 G9,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-probook-445-g9-5/,https://laptopmedia.com/wp-content/uploads/2022/01/HP_ProBook_445_G9_Front_Right-e1641369390346-300x192.jpg,59999
hp-pavilion-15-4403,HP Pavilion 15,Intel Core i5-1155G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-pavilion-15-4403/,https://laptopmedia.com/wp-content/uploads/2020/09/1-92-300x237.jpg,89900
hp-probook-450-g8-377,HP ProBook 450 G8,Intel Core i5-1135G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-probook-450-g8-377/,https://laptopmedia.com/wp-content/uploads/2022/03/71fe8pylmoL._AC_SL1500_-4-300x190.jpg,88900
hp-17-8485,HP 17,AMD Ryzen 5 5500U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,https://laptopmedia.com/laptop-specs/hp-17-8485/,https://laptopmedia.com/wp-content/uploads/2021/06/1-4-300x229.jpg,52900
hp-envy-13-227,HP ENVY 13,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"13.3”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-envy-13-227/,https://laptopmedia.com/wp-content/uploads/2022/07/519w34xA3jL._AC_SL1037_-300x306.jpg,145400
hp-17-9919,HP 17,Intel Core i5-10210U,8GB RAM,Intel UHD Graphics,"17.3”, HD+ (1600 x 900), TN",1000GB HDD,https://laptopmedia.com/laptop-specs/hp-17-9919/,https://laptopmedia.com/wp-content/uploads/2018/09/HP-17-by-1-300x210.jpg,139999
hp-omen-15-1615,HP OMEN 15,AMD Ryzen 9 5900HX,64GB RAM,NVIDIA GeForce RTX 3070 (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/hp-omen-15-1615/,https://laptopmedia.com/wp-content/uploads/2022/07/71BRsC6hHXL._AC_SL1500_-300x326.jpg,376400
hp-probook-640-g9-7,HP EliteBook 640 G9,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/hp-probook-640-g9-7/,https://laptopmedia.com/wp-content/uploads/2022/07/1649694744_IMG_1733182-e1658232108926-300x201.jpg,61900
hp-17-11930,HP 17,AMD Ryzen 5 5500U,24GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,https://laptopmedia.com/laptop-specs/hp-17-11930/,https://laptopmedia.com/wp-content/uploads/2021/06/1-4-300x229.jpg,100999
hp-15-7545,HP 15,AMD Ryzen 5 5500U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,https://laptopmedia.com/laptop-specs/hp-15-7545/,https://laptopmedia.com/wp-content/uploads/2020/06/1-12-300x225.jpg,44800
