ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
lenovo-thinkbook-13x-gen-2-17,Lenovo ThinkBook 13x Gen 2,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, WQXGA (2560 x 1600), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-13x-gen-2-17/,https://laptopmedia.com/wp-content/uploads/2022/01/1-49-e1641466881989-300x239.jpg,159999
lenovo-ideapad-3i-14-539,Lenovo IdeaPad 3i 14,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-14-539/,https://laptopmedia.com/wp-content/uploads/2021/05/1-82-e1622212154119-300x235.jpg,85900
lenovo-legion-pro-5i-16-112,Lenovo Legion Pro 5i 16,Intel Core i9-13900HX,64GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 140W)","16.0"", WQXGA (2560 x 1600), 240 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-legion-pro-5i-16-112/,https://laptopmedia.com/wp-content/uploads/2023/03/Legion_Pro_5_16IRX8_CT1_02-e1678968928862-300x257.jpg,288900
lenovo-thinkpad-x1-carbon-gen-10-165,Lenovo ThinkPad X1 Carbon Gen 10,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-carbon-gen-10-165/,https://laptopmedia.com/wp-content/uploads/2023/05/619BGvH4BZL._AC_SL1067_-300x223.jpg,159900
lenovo-ideapad-flex-5-14-1051,Lenovo IdeaPad Flex 5 14,AMD Ryzen 5 5500U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5-14-1051/,https://laptopmedia.com/wp-content/uploads/2023/06/71DiyqJPrmS._AC_SL1500_-300x192.jpg,84900
lenovo-thinkpad-p14s-gen-2-189,Lenovo ThinkPad P14s Gen 2,Intel Core i7-1185G7,48GB RAM,NVIDIA Quadro T500,"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-2-189/,https://laptopmedia.com/wp-content/uploads/2021/02/1-25-scaled-e1614152539123-300x218.jpg,139899
lenovo-thinkpad-p14s-gen-2-185,Lenovo ThinkPad P14s Gen 2,Intel Core i7-1185G7,32GB RAM,NVIDIA Quadro T500,"14.0”, Full HD (1920 x 1080), IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-2-185/,https://laptopmedia.com/wp-content/uploads/2021/02/1-25-scaled-e1614152539123-300x218.jpg,151999
lenovo-thinkpad-l15-gen-2-283,Lenovo ThinkPad L15 Gen 2,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l15-gen-2-283/,https://laptopmedia.com/wp-content/uploads/2023/04/71qqiX9b-9L._AC_SL1500_-300x195.jpg,115400
lenovo-legion-5-pro-16-309,Lenovo Legion 5 Pro 16,AMD Ryzen 7 6800H,16GB RAM,NVIDIA GeForce RTX 3050 Ti (Laptop),"16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-legion-5-pro-16-309/,https://laptopmedia.com/wp-content/uploads/2023/10/71pYoS7aEBL._AC_SL1500_-300x256.jpg,129900
lenovo-legion-pro-5i-16-161,Lenovo Legion Pro 5i 16,Intel Core i7-13700HX,64GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-legion-pro-5i-16-161/,https://laptopmedia.com/wp-content/uploads/2023/03/Legion_Pro_5_16IRX8_CT1_02-e1678968928862-300x257.jpg,209900
