ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
lg-gram-14-227,LG Gram 14,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0"", FHD+ (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-14-227/,https://laptopmedia.com/wp-content/uploads/2023/10/1-16-e1697362005115-300x223.jpg,107999
aorus-17x-91,AORUS 17X,Intel Core i7-12700H,16GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/aorus-17x-91/,https://laptopmedia.com/wp-content/uploads/2023/07/81L2RZFtSwL._AC_SL1500_-1-300x197.jpg,382900
microsoft-surface-pro-9-72,Microsoft Surface Pro 9,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"13.0"", PixelSense (2880 x 1920), 120 Hz, IPS",256GB SSD,https://laptopmedia.com/laptop-specs/microsoft-surface-pro-9-72/,https://laptopmedia.com/wp-content/uploads/2022/12/s1-3-300x301.jpg,101618
alienware-m17-r5-63,Alienware m17 R5,AMD Ryzen 7 6800H,16GB RAM,NVIDIA GeForce RTX 3070 Ti (Laptop),"17.3”, Full HD (1920 x 1080), 360 Hz, IPS",512GB SSD,https://laptopmedia.com/laptop-specs/alienware-m17-r5-63/,https://laptopmedia.com/wp-content/uploads/2022/11/1-31-e1669283905445-300x208.jpg,178888
aorus-17x-110,AORUS 17X,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/aorus-17x-110/,https://laptopmedia.com/wp-content/uploads/2023/07/81L2RZFtSwL._AC_SL1500_-1-300x197.jpg,406900
aorus-17x-154,AORUS 17X,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",512GB SSD,https://laptopmedia.com/laptop-specs/aorus-17x-154/,https://laptopmedia.com/wp-content/uploads/2023/07/81l7DkFeIAL._AC_SL1500_-1-300x184.jpg,367900
aorus-17-210,AORUS 17,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/aorus-17-210/,https://laptopmedia.com/wp-content/uploads/2022/11/81l7DkFeIAL._AC_SL1500_-300x184.jpg,439900
alienware-m15-63,Alienware m15,Intel Core i7-8750H,16GB RAM,NVIDIA GeForce RTX 2070 Max-Q,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/alienware-m15-63/,https://laptopmedia.com/wp-content/uploads/2018/10/Alienware-m15-1-300x231.png,196900
microsoft-surface-laptop-studio-2-8,Microsoft Surface Laptop Studio 2,Intel Core i7-13700H,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 80W)","14.4"" PixelSense Flow (2400 x 1600), 120 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/microsoft-surface-laptop-studio-2-8/,https://laptopmedia.com/wp-content/uploads/2024/03/51nUESZv4IL._AC_SL1449_-300x221.jpg,278999
aorus-17-340,AORUS 17,Intel Core i7-12700H,64GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/aorus-17-340/,https://laptopmedia.com/wp-content/uploads/2024/02/81hNR3olUgL._AC_SL1500_-1-300x257.jpg,588900
