ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
dell-xps-9520-70,Dell XPS 9520,Intel Core i7-12700H,16GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 40W)","15.6”, FHD+ (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/dell-xps-9520-70/,https://laptopmedia.com/wp-content/uploads/2022/04/1-20-scaled.jpg,206807
dell-g16-7620-27,Dell G16 7620,Intel Core i7-12700H,64GB RAM,NVIDIA GeForce RTX 3050 Ti (Laptop),"16.0"", QHD (2560 x 1600), 165 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/dell-g16-7620-27/,https://laptopmedia.com/wp-content/uploads/2022/11/1-12-e1668094102704-300x220.jpg,191999
dell-g15-5525-2,Dell G15 5525,AMD Ryzen 7 6800H,32GB RAM,NVIDIA GeForce RTX 3050 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/dell-g15-5525-2/,https://laptopmedia.com/wp-content/uploads/2022/11/1-29-300x197.jpg,135900
dell-inspiron-3520-21,Dell Inspiron 3520,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/dell-inspiron-3520-21/,https://laptopmedia.com/wp-content/uploads/2022/11/61EkQ2e9Q4L._AC_SL1500_-300x177.jpg,78999
dell-latitude-7320-47,Dell Latitude 7320,Intel Core i7-1180G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/dell-latitude-7320-47/,https://laptopmedia.com/wp-content/uploads/2021/03/1-28-300x181.jpg,76080
dell-inspiron-3502-375,Dell Inspiron 3502,Intel Celeron N4020,16GB RAM,Intel UHD Graphics 600,"15.6”, HD (1366 x 768), TN",1000GB HDD,https://laptopmedia.com/laptop-specs/dell-inspiron-3502-375/,https://laptopmedia.com/wp-content/uploads/2021/02/81GKNQqV9mS._AC_SL1500_-1-300x203.jpg,59900
dell-inspiron-7415-2-in-1-133,Dell Inspiron 7415 2-in-1,AMD Ryzen 7 5700U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/dell-inspiron-7415-2-in-1-133/,https://laptopmedia.com/wp-content/uploads/2021/04/2-e1618324229349-300x197.jpeg,99999
dell-inspiron-3510-198,Dell Inspiron 3510,Intel Celeron N4020,8GB RAM,Intel UHD Graphics 600,"15.6”, HD (1366 x 768), TN",512GB SSD,https://laptopmedia.com/laptop-specs/dell-inspiron-3510-198/,https://laptopmedia.com/wp-content/uploads/2021/09/1-1-scaled-e1630490665624-300x174.jpg,62900
dell-g15-5515-31,Dell G15 5515,AMD Ryzen 7 5800H,64GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/dell-g15-5515-31/,https://laptopmedia.com/wp-content/uploads/2021/04/1-57-e1633473400593-300x197.jpg,171900
dell-inspiron-3505-620,Dell Inspiron 3505,AMD Ryzen 3 3250U,16GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/dell-inspiron-3505-620/,https://laptopmedia.com/wp-content/uploads/2020/12/1-16-scaled-e1608035705591-300x183.jpg,69900
