ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
hp-envy-17-3415,HP ENVY 17,Intel Core i7-13700H,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/hp-envy-17-3415/,https://laptopmedia.com/wp-content/uploads/2023/07/1-3-300x225.jpg,173900
hp-zbook-firefly-14-g10-a-7,HP ZBook Firefly 14 G10 A,AMD Ryzen 7 PRO 7840HS,32GB RAM,AMD Radeon 780M,"14.0”, WUXGA (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-zbook-firefly-14-g10-a-7/,https://laptopmedia.com/wp-content/uploads/2023/07/1-70-e1689930019408-300x208.jpg,163494
hp-15-15227,HP 15,Intel Core i7-1260P,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-15-15227/,https://laptopmedia.com/wp-content/uploads/2023/05/71Pd8cTjVxL._AC_SL1500_-3-300x235.jpg,84999
hp-14-5910,HP 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,https://laptopmedia.com/laptop-specs/hp-14-5910/,https://laptopmedia.com/wp-content/uploads/2019/10/1-1-300x211.png,25999
hp-omen-16-1306,HP OMEN 16,Intel Core i7-13700HX,64GB RAM,NVIDIA GeForce RTX 4060 (Laptop),"16.1″, QHD (2560 x 1600), 240 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/hp-omen-16-1306/,https://laptopmedia.com/wp-content/uploads/2023/05/1-4-e1683107956318-300x243.jpg,217900
hp-14-5151,HP 14,AMD Ryzen 5 7530U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, HD (1366 x 768), TN",128GB SSD,https://laptopmedia.com/laptop-specs/hp-14-5151/,https://laptopmedia.com/wp-content/uploads/2023/02/1-41-300x225.jpg,36999
hp-15-11926,HP 15,Intel Pentium Silver N5030,8GB RAM,Intel UHD Graphics 605,"15.6”, HD (1366 x 768), TN",256GB SSD,https://laptopmedia.com/laptop-specs/hp-15-11926/,https://laptopmedia.com/wp-content/uploads/2020/06/1-12-300x225.jpg,36900
hp-omen-16-128,HP OMEN 16,AMD Ryzen 7 5800H,64GB RAM,NVIDIA GeForce RTX 3050 Ti (Laptop),"16.1″, Full HD (1920 x 1080), 144 Hz, IPS",8000GB SSD,https://laptopmedia.com/laptop-specs/hp-omen-16-128/,https://laptopmedia.com/wp-content/uploads/2022/02/71soEeNgpOL._AC_SL1500_-4-300x233.jpg,740900
hp-victus-16-82,HP Victus 16,Intel Core i7-11800H,16GB RAM,NVIDIA GeForce RTX 3060 (Laptop),"16.1″, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/hp-victus-16-82/,https://laptopmedia.com/wp-content/uploads/2021/11/6187ruOey6L._AC_SL1499_-1-300x238.jpg,167999
hp-15-7594,HP 15,AMD Ryzen 5 5500U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,https://laptopmedia.com/laptop-specs/hp-15-7594/,https://laptopmedia.com/wp-content/uploads/2021/12/71JKvGqTIgL._AC_SL1500_-300x231.jpg,50800
