ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
lenovo-yoga-7i-16-254,Lenovo Yoga 7i 16,Intel Core i5-1335U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0″, WUXGA (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-16-254/,https://laptopmedia.com/wp-content/uploads/2023/05/4-42-e1685057534506-300x256.jpg,62500
lenovo-yoga-7i-16-249,Lenovo Yoga 7i 16,Intel Core i5-1335U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0″, WUXGA (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-16-249/,https://laptopmedia.com/wp-content/uploads/2023/06/51Nu5iYl0LL._AC_SL1280_-300x230.jpg,68499
lenovo-yoga-7i-16-178,Lenovo Yoga 7i 16,Intel Core i5-1240P,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0"", WQXGA (2560 x 1600), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-16-178/,https://laptopmedia.com/wp-content/uploads/2022/01/1-54-e1641473419181-300x250.jpg,77999
lenovo-thinkpad-t16-gen-1-245,Lenovo ThinkPad T16 Gen 1,Intel Core i7-1270P,24GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t16-gen-1-245/,https://laptopmedia.com/wp-content/uploads/2023/05/51SvJQ8x6vL._AC_SL1000_-4-300x214.jpg,128999
lenovo-ideapad-flex-5i-14-102,Lenovo IdeaPad Flex 5i 14,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0″, 2.8K (2880 x 1800), OLED",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5i-14-102/,https://laptopmedia.com/wp-content/uploads/2022/09/1-9-e1662533805214-300x239.jpg,117900
lenovo-legion-5i-15-1498,Lenovo Legion 5i 15,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-legion-5i-15-1498/,https://laptopmedia.com/wp-content/uploads/2022/01/1-101-300x191.jpg,208900
lenovo-thinkpad-t14s-gen-2-297,Lenovo ThinkPad T14s Gen 2,Intel Core i7-1185G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t14s-gen-2-297/,https://laptopmedia.com/wp-content/uploads/2021/02/02_Thinkpad_T14s_Gen_2_Black_Hero_Front_Facing_JD-e1614149321796-300x217.jpg,140900
lenovo-thinkpad-t14s-gen-2-280,Lenovo ThinkPad T14s Gen 2,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t14s-gen-2-280/,https://laptopmedia.com/wp-content/uploads/2021/02/02_Thinkpad_T14s_Gen_2_Black_Hero_Front_Facing_JD-e1614149321796-300x217.jpg,112900
lenovo-ideapad-3-14-1410,Lenovo IdeaPad 3 14,Intel Core i7-1165G7,20GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), TN",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-14-1410/,https://laptopmedia.com/wp-content/uploads/2021/05/1-82-e1622212154119-300x235.jpg,79900
lenovo-thinkpad-t16-gen-1-260,Lenovo ThinkPad T16 Gen 1,Intel Core i7-1270P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t16-gen-1-260/,https://laptopmedia.com/wp-content/uploads/2023/05/51Iy7zJfPGL._AC_SL1138_-300x199.jpg,142999
