ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
aorus-17x-108,AORUS 17X,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 130W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",8000GB SSD,https://laptopmedia.com/laptop-specs/aorus-17x-108/,https://laptopmedia.com/wp-content/uploads/2023/07/81L2RZFtSwL._AC_SL1500_-1-300x197.jpg,809900
lg-gram-13-62,LG gram 13,AMD Ryzen 5 4500U,8GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","13.3”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-13-62/,https://laptopmedia.com/wp-content/uploads/2021/03/1-8-e1615384442407-300x234.jpg,74900
microsoft-laptop-studio-2-2,Microsoft Surface Laptop Studio 2,Intel Core i7-13700H,32GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 80W)","14.4"" PixelSense Flow (2400 x 1600), 120 Hz, IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/microsoft-laptop-studio-2-2/,https://laptopmedia.com/wp-content/uploads/2023/09/1-19-e1695626757599-300x248.jpg,222903
lg-gram-13-77,LG gram 13,AMD Ryzen 5 4500U,8GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","13.3”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-13-77/,https://laptopmedia.com/wp-content/uploads/2021/03/1-8-e1615384442407-300x234.jpg,62900
lg-gram-16-407,LG Gram 16,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0"", WQXGA (2560 x 1600), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-16-407/,https://laptopmedia.com/wp-content/uploads/2021/01/71cichtrTYL._AC_SL1500_-300x230.jpg,164900
lg-gram-17-441,LG gram 17,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.0”, QHD+ (2560 x 1600), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-17-441/,https://laptopmedia.com/wp-content/uploads/2023/08/71d011KPfVL._AC_SL1500_-300x219.jpg,99500
lg-gram-17-439,LG gram 17,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.0”, QHD+ (2560 x 1600), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-17-439/,https://laptopmedia.com/wp-content/uploads/2023/08/718Ngdl4xIL._AC_SL1500_-300x219.jpg,119900
lg-gram-15-307,LG Gram 15,Intel Core i5-1035G7,8GB RAM,Intel Iris Plus Graphics G7,"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-15-307/,https://laptopmedia.com/wp-content/uploads/2019/12/1-4-e1576229960428-300x288.png,110999
fusion5-t90b-pro-2,Fusion5 T90B+ Pro,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.1”, Full HD (1920 x 1080), IPS",128GB SSD,https://laptopmedia.com/laptop-specs/fusion5-t90b-pro-2/,https://laptopmedia.com/wp-content/uploads/2023/07/1-2-e1688367989731-300x220.jpg,19999
lg-gram-15-308,LG Gram 15,Intel Core i5-1035G7,8GB RAM,Intel Iris Plus Graphics G7,"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-15-308/,https://laptopmedia.com/wp-content/uploads/2019/12/1-4-e1576229960428-300x288.png,94999
aorus-15p-404,AORUS 15P,Intel Core i7-11800H,32GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 300 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/aorus-15p-404/,https://laptopmedia.com/wp-content/uploads/2023/07/61xybo90QEL._AC_SL1280_-300x263.jpg,305900
lg-gram-17-421,LG gram 17,Intel Core i7-1360P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.0”, QHD+ (2560 x 1600), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-17-421/,https://laptopmedia.com/wp-content/uploads/2023/01/DZ-1-e1674810916554-300x237.jpg,171999
lg-gram-16-477,LG gram 16,Intel Core i7-1360P,32GB RAM,NVIDIA GeForce RTX 3050 (Laptop),"16.0"", WQXGA (2560 x 1600), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lg-gram-16-477/,https://laptopmedia.com/wp-content/uploads/2023/03/1-1-e1677680996670-300x242.jpg,184999
alienware-m16-r1-32,Alienware m16 R1,Intel Core i7-13700HX,32GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 115W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/alienware-m16-r1-32/,https://laptopmedia.com/wp-content/uploads/2023/07/1-77-scaled-e1690541619201-300x199.jpg,174900
alienware-m16-r1-25,Alienware m16 R1,Intel Core i7-13700HX,16GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 115W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/alienware-m16-r1-25/,https://laptopmedia.com/wp-content/uploads/2023/07/1-77-scaled-e1690541619201-300x199.jpg,169849
aorus-15p-384,AORUS 15P,Intel Core i7-11800H,64GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 300 Hz, IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/aorus-15p-384/,https://laptopmedia.com/wp-content/uploads/2023/06/61oNZ3zqYiL._AC_SL1326_-300x220.jpg,295900
aorus-5-176,AORUS 5,Intel Core i7-12700H,64GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/aorus-5-176/,https://laptopmedia.com/wp-content/uploads/2023/06/61-4Kis7hL._AC_SL1230_-300x203.jpg,294400
