,0
0,400171142
1,400254767
2,30069875
3,30069873
4,30070422
5,400239385
6,400235054
7,30065211
8,30064273
9,400260388
10,400260389
11,30070347
12,30069883
13,400132672
14,30064274
15,400135845
16,30067545
17,30064275
18,400260390
19,30069897
20,30066685
21,400232021
22,30067680
23,30067509
24,30067902
25,400132676
26,30067836
27,30067659
28,30067716
29,400171260
30,400135846
31,30067728
32,400233585
33,30067654
34,30067704
35,30067623
36,400243953
37,400235229
38,30067508
39,30068427
40,30067705
41,400136875
42,30066686
43,400235230
44,400082334
45,400112740
46,30069945
47,30067312
48,400232023
49,30067837
50,400213669
51,30065502
52,400161520
53,30070421
54,30070141
55,30067544
56,400136878
57,30067824
58,400231127
59,30067507
60,30067814
61,30066689
62,30067671
63,400136873
64,30069250
65,30065457
66,30069902
67,30067311
68,400132677
69,400146548
70,30067655
71,30067717
72,400132670
73,400233526
74,30067821
75,30068745
76,30069844
77,30066688
78,400177642
79,30066801
80,30065362
81,30067656
82,30067820
83,400164977
84,30067547
85,30070349
86,30066096
87,400136874
88,30066800
89,400230933
90,30067740
91,400180030
92,400132678
93,30070345
94,30069620
95,30069820
96,30066467
97,400085673
98,30067682
99,30065730
100,400210567
101,30068256
102,400063437
103,30065363
104,30068746
105,30068747
106,400167562
107,400076948
108,30067729
109,30067823
110,400229995
111,30066562
112,30065694
113,30069610
114,30067461
115,30067681
116,400106659
117,400229990
118,30067546
119,400153576
120,30067310
121,30065768
122,30069611
123,30066469
124,30066570
125,400063478
126,400170456
127,400225647
128,400121480
129,400229991
130,30066094
131,30067670
132,400160546
133,400132671
134,30068252
135,400146393
136,30065859
137,400180029
138,30066644
139,30066781
140,400106660
141,400171046
142,400193222
143,400164856
144,400164856
145,30066721
146,400121482
147,400213621
148,30069780
149,30069631
150,400258864
151,30067741
152,400171137
153,400164583
154,400160545
155,400220884
156,4210998
157,30067835
158,30065240
159,400106264
160,400132673
161,30065695
162,400260387
163,30067658
164,30066612
165,30065780
166,400171147
167,30067846
168,400160520
169,400076593
170,400170949
171,400132675
172,400171059
173,30064662
174,400177641
175,400171093
176,400171100
177,400229996
178,400132668
179,400193224
180,400121481
181,400160468
182,30066617
183,400193221
184,30069923
185,30066477
186,30069630
187,4212282
188,400137656
189,400193220
190,30066649
191,400137657
192,400229994
193,400229998
194,30069947
195,400229999
196,30068275
197,30068254
198,4210997
199,400076588
200,400221515
201,30066614
202,30069221
203,400220178
204,400135809
205,30068255
206,400063477
207,400112741
208,400156661
209,30070140
210,30069944
211,30067674
212,30067904
213,4212284
214,400219856
215,400221037
216,400221037
217,400229997
218,30068253
219,400256342
220,30069901
221,400221479
222,30070420
223,30069632
224,50176111
225,400171112
226,400229993
227,400221507
228,30069900
229,400243927
230,400254787
231,400225646
232,400250242
233,400221521
234,400243733
235,400261070
236,400269501
237,400225648
238,400254718
239,400269494
240,400243732
241,400258938
242,400261078
243,400243735
244,400261160
245,400261248
246,400258551
247,400261137
248,400280818
249,400259197
250,30069898
251,400277852
252,400280346
253,400263841
254,30069946
255,400280817
256,400277788
257,400276000
258,400275993
259,400277789
260,400275986
261,400258550
262,400280816
263,400256584
264,30066122
265,30065979
266,30066274
267,30063455
268,30067822
269,30058250
270,400112729
271,400260735
272,400277851
273,30070693
274,30070672
275,30070669
276,30071001
277,30070702
278,30070680
279,30070800
280,30071005
281,30070768
282,30070795
283,30070993
284,30070681
285,30070701
286,30070759
287,30070668
288,30070992
289,400112730
290,30066967
291,30066922
292,400072948
293,400054956
294,400281701
295,400253503
296,400281503
297,400281882
298,400266021
299,400086587
300,400253502
301,400240133
302,400278618
303,400281595
304,400281480
305,400213695
306,400220127
307,400253504
308,400283971
309,400263043
310,400226017
311,400281832
312,400213698
313,400281737
314,400256645
315,400180578
316,400284427
317,400281913
318,400281600
319,400029358
320,400086625
321,400278545
322,400284428
323,400283980
324,400262479
325,400256651
326,400084647
327,400253505
328,400281707
329,400283975
330,400266242
331,400240137
332,400281654
333,400278593
334,400281757
335,400284423
336,400278623
337,400278602
338,400278577
339,400278593
340,400278541
341,400263051
342,400157993
343,400158084
344,400158062
345,400158061
346,400285837
347,400285827
348,400286715
349,400287189
350,400273976
351,400240137
352,400240130
353,400240141
354,400278656
355,400278651
356,400240178
357,400281875
358,400283978
359,400274328
360,400278635
361,400285829
362,400240139
363,400086623
364,400256680
365,400256651
366,400281955
367,400281935
368,400281763
369,400281470
370,400228366
371,400283967
372,400283969
373,400284416
374,400184070
375,400278546
376,400278556
377,400278551
378,400157991
379,400157989
380,400158116
381,400273973
382,400278665
383,400281949
384,400281796
385,400086626
386,400180573
387,400180579
388,400180577
389,400181367
390,400070470
391,400139448
392,400256679
393,400256646
394,400281942
395,400281948
396,400281805
397,400281769
398,400281843
399,400281814
400,400281569
401,400281644
402,400281645
403,400281485
404,400220128
405,400220165
406,400225953
407,400225714
408,400283996
409,400281569
410,400139448
411,400240135
412,400281769
413,400281942
414,400278663
415,400158080
416,400157995
417,400256679
418,400281949
419,400278617
420,400281805
421,400278612
422,400281843
423,400253507
424,400284425
425,400092358
426,400263050
427,400256646
428,400268613
429,400281485
430,400278589
431,400285840
432,400263026
433,400278671
434,400278634
435,400284419
436,400285825
437,400226045
438,400281644
439,400278608
440,400220165
441,400220128
442,400281948
443,400281645
444,400181367
445,400180579
446,400086626
447,400180573
448,400158112
449,400278631
450,400157992
451,400278557
452,400263037
453,400281497
454,400240156
455,400029654
456,400158054
457,400132682
458,400256682
459,400240146
460,400220129
461,400262491
462,400273974
463,400263031
464,400158055
465,400158086
466,400240179
467,400158057
468,400158058
469,400225952
470,400226018
471,400278644
472,400278605
473,400278611
474,400263048
475,400278582
476,400027918
477,400278672
478,400278576
479,400278570
480,400278678
481,400274550
482,400278599
483,400278680
484,400226030
485,400029633
486,400278674
487,400278555
488,400278588
489,400278559
490,400278566
491,400278666
492,400278628
493,400278640
494,400278659
495,400240176
496,400281943
497,400281667
498,400281716
499,400281908
500,400283968
501,400283990
502,400281929
503,400281672
504,400281907
505,400281908
506,400281909
507,400281872
508,400281852
509,400281828
510,400281579
511,400281588
512,400281575
513,400281570
514,400281518
515,400281521
516,400281697
517,400281656
518,400281659
519,400281669
520,400281672
521,400281637
522,400281651
523,400281390
524,400281392
525,400281483
526,400281489
527,400281481
528,400281923
529,400281915
530,400281872
531,400281940
532,400281570
533,400281697
534,400281939
535,400283976
536,400281463
537,400281390
538,400281924
539,400281575
540,400281588
541,400281637
542,400281481
543,400158082
544,400158056
545,400240164
546,400256668
547,400278610
548,400027907
549,400240131
550,400225717
551,400256654
552,400284433
553,400027908
554,400158060
555,400158083
556,400256658
557,400226044
558,400086619
559,400158113
560,400256672
561,400278654
562,400278539
563,400278679
564,400256789
565,400281919
566,400157988
567,400240151
568,400256681
569,400240160
570,400281771
571,400278543
572,400225712
573,400180574
574,400180576
575,400158079
576,400278576
577,400278573
578,400278570
579,400278599
580,400278543
581,400278544
582,400278540
583,400278539
584,400278566
585,400278559
586,400278555
587,400029360
588,400263048
589,400157994
590,400157988
591,400158117
592,400158111
593,400158113
594,400158054
595,400158059
596,400158055
597,400158056
598,400158057
599,400158058
600,400286714
601,400286724
602,400286707
603,400286728
604,400286723
605,400240171
606,400278573
607,400278646
608,400139443
609,400029360
610,400158117
611,400158067
612,400158111
613,400158063
614,400158065
615,400158069
616,400251865
617,400251851
618,400251860
619,400251849
620,400251866
621,400251870
622,400251842
623,400251869
624,400251872
625,400251856
626,400251843
627,400251875
628,400251857
629,400251868
630,400281506
631,400281802
632,400279474
633,400281460
634,400281909
635,400281468
636,400279856
637,400281907
638,400281579
639,400281938
640,400281922
641,400281739
642,400281930
643,400281852
644,400281828
645,400281518
646,400281926
647,400281916
648,400251858
649,400251870
650,400251868
651,400251842
652,400225717
653,400251866
654,400251864
655,400251857
656,400251875
657,400251871
658,400251872
659,400251869
